???????,???????,Name,???????????,
6507,????????,Wat bot,phitsanulok,
6508,??????,Wang thong,phitsanulok,
6509,??????????,Noen maprang,phitsanulok,
6601,???????????,Muang phichit,phichit,
6602,??????????,Wang sai phun,phichit,
6603,???????????????,Pho Prathap Chang,phichit,
6604,????????,Taphan hin,phichit,
6605,?????????,Bang munnak,phichit,
6606,??????,Pho thale,phichit,
6607,???????,Sam ngam,phichit,
6608,???????,Thao khlo,phichit,
6609,????????,Sak lek,phichit,
6610,????????,Bung narang,phichit,
6611,???????,Dong charoen,phichit,
6612,?????????,Wachirabarami,phichit,
6701,??????????????,Muang phetchabun,phetchabun,
6702,?????,Chon daen,phetchabun,
6703,???????,Lom sak,phetchabun,
6704,????????,Lom kao,phetchabun,
6705,???????????,Wichian buri,phetchabun,
6706,??????,Si thep,phetchabun,
6707,???????,Nong Phai,phetchabun,
6708,?????????,Bung sam phan,phetchabun,
6709,???????,Nam nao,phetchabun,
6710,???????,Wang pong,phetchabun,
6711,??????,Khao Kho,phetchabun,
7001,????????????,Muang rachaburi,rachaburi,
7002,??????,Chom bung,rachaburi,
7003,???????,Suan phung,rachaburi,
7004,???????????,Damnoen saduak,rachaburi,
7005,????????,Bang phong,rachaburi,
7006,?????,Bang phae,rachaburi,
7007,???????,Photharam,rachaburi,
7008,??????,Pak tho,rachaburi,
7009,???????,Wat phleng,rachaburi,
7010,??????,Bang kha,rachaburi,
7101,??????????????,Muang kanchanaburi,Kanchanaburi,
7102,??????,Sai yok,Kanchanaburi,
7103,???????,Bo phloi,Kanchanaburi,
7104,??????????,Si sawat,Kanchanaburi,
7105,???????,Tha maka,Kanchanaburi,
7106,???????,Tha muang,Kanchanaburi,
7107,?????????,Thong pha phum,Kanchanaburi,
7108,??????????,Sangkhla buri,Kanchanaburi,
7109,??????,Phanom thoan,Kanchanaburi,
7110,???????,Lao khwan,Kanchanaburi,
7111,??????????????,Dan makham tia,Kanchanaburi,
7112,????????,Nongprue,Kanchanaburi,
7113,??????????,Huai krajao,Kanchanaburi,
7201,???????????????,Muang suphanburi,suphanburi,
7202,?????????????,Doembang nangbuat,suphanburi,
7203,????????,Dan chang,suphanburi,
7204,?????????,Bang plama,suphanburi,
7205,???????????,Si prachan,suphanburi,
7206,?????????,Don chedi,suphanburi,
7207,??????????,Song phi nong,suphanburi,
7208,??????,Sam chuk,suphanburi,
7209,??????,U thong,suphanburi,
7210,??????????,Nong yasai,suphanburi,
7301,???????????,Muang nakhon pathom,nakhon pathom,
7302,????????,Kampheng saen,nakhon pathom,
7303,?????????,INakhon chaisi,nakhon pathom,
7304,??????,Don tom,nakhon pathom,
7305,??????,Bang len,nakhon pathom,
7306,???????,Sam phran,nakhon pathom,
7307,????????,Bukkha monthon,nakhon pathom,
7401,??????????????,Muang samut sakhon,samut sakhon,
7402,??????????,Kratumban,samut sakhon,
7403,????????,Ban phaeo,samut sakhon,
7501,????????????????,Muang samut songkhram,samut songkhram,
7502,???????,Bang Khonthi,samut songkhram,
7503,??????,Amphawa,samut songkhram,
7601,?????????????,muang phetchaburi,phetchaburi,
7602,???????,khao yoi,phetchaburi,
7603,?????????????,Nong ya plong,phetchaburi,
7604,????,Cha-am,phetchaburi,
7605,??????,Tha yang,phetchaburi,
7606,???????,Ban lat,phetchaburi,
7607,????????,Ban laerm,phetchaburi,
7608,??????????,Kaeng kachan,phetchaburi,
7701,????????????????????,Mung prachuap khiri khan,prachuap khiri khan,
7702,???????,Kui buri,prachuap khiri khan,
7703,???????,Thap sakae,prachuap khiri khan,
7704,????????,Bang saphan,prachuap khiri khan,
7705,????????????,Bang saphan noi,prachuap khiri khan,
7706,????????,Pran buri,prachuap khiri khan,
7707,??????,Hua hin,prachuap khiri khan,
7708,??????????,Sam roi yot,prachuap khiri khan,
8001,??????????????????,Muang nakhon si thammarat,nakhon si thammarat,
8002,????????,Phrommakhiri,nakhon si thammarat,
8003,???????,Lan saka,nakhon si thammarat,
8004,????,Chawang,nakhon si thammarat,
8005,?????,Phipun,nakhon si thammarat,
8006,?????????,Chian yai,nakhon si thammarat,
8007,?????,Cha-uat,nakhon si thammarat,
8008,???????,Tha sala,nakhon si thammarat,
8009,??????,Thung song,nakhon si thammarat,
8010,?????,Na bon,nakhon si thammarat,
8011,????????,Thung yai,nakhon si thammarat,
8012,???????,Pak phanang,nakhon si thammarat,
8013,???????????,Ron pipun,nakhon si thammarat,
8014,????,Sichon,nakhon si thammarat,
8015,????,Khanom,nakhon si thammarat,
8016,??????,Hua sai,nakhon si thammarat,
8017,??????,Bang chan,nakhon si thammarat,
8018,?????????,Tham phanara,nakhon si thammarat,
8019,????????,Chulaporn,nakhon si thammarat,
8020,???????,Phra phrom,nakhon si thammarat,
8021,??????,Nop pitam,nakhon si thammarat,
8022,????????,Chang klang,nakhon si thammarat,
8023,???????????????,Chaloem phrakiat,nakhon si thammarat,
8101,???????????,Muang krabi,Krabi,
8102,??????,Khaong phanom,Krabi,
8103,?????????,Ko lanta,Krabi,
8104,????????,Khlong thom,Krabi,
8105,???????,Ao Luk,Krabi,
8106,?????????,Plai phraya,Krabi,
8107,?????,Lum tub,Krabi,
8108,?????????,Nua klong,Krabi,
8201,??????????,Muang phangnga,phangnga,
8202,???????,ko yao,phangnga,
8203,????,ka pong,phangnga,
8204,??????????,Takua thung,phangnga,
8205,?????????,Takua pa,phangnga,
8206,????????,Khura buri,phangnga,
8207,??????,Thap put,phangnga,
8208,??????????,Thai muang,phangnga,
8301,???????????,Muangphuket,phuket,
8302,?????,Kathu,phuket,
8303,????,Thalang,phuket,
8401,?????????????????,Muang surat thani,surat thani,
8402,??????????,Kanchanadit,surat thani,
8403,??????,Don sak,surat thani,
8404,????????,Ko samut,surat thani,
8405,?????????,ko phangan,surat thani,
8406,????,Chai ya,surat thani,
8407,??????,Tha chana,surat thani,
8408,???????????,Khiri ratthanikhem,surat thani,
8409,?????????,Ban ta khun,surat thani,
8410,???,Phanom,surat thani,
8411,??????,Tha chang,surat thani,
8412,?????????,Ban na san,surat thani,
8413,??????????,Ban na doem,surat thani,
8414,???????,Khian sa,surat thani,
8415,????????,Weang sa,surat thani,
8416,??????,Phrasaeng,surat thani,
8417,??????,Phunphin,surat thani,
8418,???????,Chat buri,surat thani,
8419,???????,Vibhavadi,surat thani,
8501,??????????,Muang ranong,ranong,
8502,??????,La-un,ranong,
8503,???????,Kapoe,ranong,
8504,???????,Kra buri,ranong,
8505,????????,Sook samran,ranong,
8601,??????????,Muang chum phon,Chum phon,
8602,??????,tha sae,Chum phon,
8603,?????,Pathiu,Chum phon,
8604,???????,Lang suan,Chum phon,
8605,????,Lamae,Chum phon,
8606,??????,Phato,Chum phon,
8607,???,Sawi,Chum phon,
8608,????????,Thung tako,Chum phon,
9001,??????????,Muang songkhla,songkhla,
9002,???????,Sathing phra,songkhla,
9003,????,Chana,songkhla,
9004,?????,Na thawi,songkhla,
9005,????,The pha,songkhla,
9006,?????????,Saba yoi,songkhla,
9007,?????,Ranot,songkhla,
9008,???????????,Kasae sin,songkhla,
9009,???????,Rattaphom,songkhla,
9010,?????,Sadao,songkhla,
9011,???????,Hat yai,songkhla,
9012,???????,Na mom,songkhla,
9013,????????,Khuan niang,songkhla,
9014,???????,Bang khum,songkhla,
9015,???????,Singha nakhon,songkhla,
9016,???????????,Khlong Hoi Khong,songkhla,
9101,?????????,Muang satun,satun,
9102,??????,Khuan don,satun,
9103,????????,Khuan ka long,satun,
9104,?????,Tha phae,satun,
9105,????,Langu,satun,
9106,????????,Thung wa,satun,
9107,?????,Manang,satun,
9201,?????????,Muang trang,Trang,
9202,??????,Kantang,Trang,
9203,?????????,Yan ta khao,Trang,
9204,????????,Palian,Trang,
9205,?????,Sikao,Trang,
9206,???????,Huai Yot,Trang,
9207,????????,Wang wiset,Trang,
9208,?????,Na yong,Trang,
9209,?????,Ratsada,Trang,
9210,????????,Had someran,Trang,
9301,???????????,Muang phatthalung,phatthalung,
9302,?????,kong ra,phatthalung,
9303,????????,Khao chaison,phatthalung,
9304,??????,Tamot,phatthalung,
9305,???????,Khuan khanon,phatthalung,
9306,????????,Pak phayun,phatthalung,
9307,????????,Si banphot,phatthalung,
9308,??????,Pa bon,phatthalung,
9309,???????,Bang kaeo,phatthalung,
9310,????????,Pa phayom,phatthalung,
9311,???????????,Srinagarindra,phatthalung,
9401,????????????,Muang pattani,pattani,
9402,????????,Khok pho,pattani,
9403,???????,Nong chik,pattani,
9404,???????,Panara,pattani,
9405,????,Mayo,pattani,
9406,??????????,Thung yang daeng,pattani,
9407,???????,Sai buri,pattani,
9408,???????,Mai kaen,pattani,
9409,???????,Yaring,pattani,
9410,?????,Yarang,pattani,
9411,?????,Kapho,pattani,
9412,??????,Mae lan,pattani,
9501,?????????,Muang yala,yala,
9502,????,Betong,yala,
9503,?????????,Bannang sata,yala,
9504,?????,Than to,yala,
9505,????,Yaha,yala,
9506,?????,Raman,yala,
9507,?????,Kabang,yala,
9508,????????,Krong Pinang,yala,
9601,?????????????,Muang narathiwat,narathiwat,
9602,?????,Tak bai,narathiwat,
9603,??????,Bacho,narathiwat,
9604,?????,Yi-ngo,narathiwat,
9605,?????,Rangae,narathiwat,
9606,???????,Ruso,narathiwat,
9607,???????,Sisakhon,narathiwat,
9608,????,Waeng,narathiwat,
9609,???????,Sukhirin,narathiwat,
9610,?????????,Sungai kolok,narathiwat,
9611,?????????,Sungai padi,narathiwat,
9612,?????,Chanao,narathiwat,
9613,??????????,Cho-airong,narathiwat,
